,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
215,Kepler-80,b,2012,296.112564,39.978778999999996,,2455658.399,0.002,-0.001,1,,6,0,1,Kepler,89.34,0.46,-0.62,,0.73,0.03,-0.03,0.68,0.02,-0.02,4540.0,100.0,-100.0,14.804,12.954,12.354000000000001,0.0648,0.0009,-0.0009,0.23800000000000002,0.009000000000000001,-0.009000000000000001,0.0218,0.0033,-0.0022,546.0,7.05246,0.0002,-0.00022,,,
216,Kepler-80,c,2012,296.112564,39.978778999999996,,2455696.047,0.001,-0.001,1,,6,0,1,Kepler,89.33,0.47,-0.57,,0.73,0.03,-0.03,0.68,0.02,-0.02,4540.0,100.0,-100.0,14.804,12.954,12.354000000000001,0.0792,0.0011,-0.0011,0.244,0.011000000000000001,-0.009000000000000001,0.02121,0.00387,-0.00271,494.0,9.52355,0.00041,-0.00029,,,
217,Kepler-80,d,2014,296.112564,39.978778999999996,,2455695.129,0.002,-0.001,1,,6,0,1,Kepler,88.35,1.12,-1.51,,0.73,0.03,-0.03,0.68,0.02,-0.02,4540.0,100.0,-100.0,14.804,12.954,12.354000000000001,0.0372,0.0005,-0.0005,0.136,0.008,-0.006,0.021240000000000002,0.00217,-0.0016,720.0,3.07222,6e-05,-4e-05,,,
218,Kepler-111,c,2014,291.65317000000005,44.688274,,2454975.09604,0.00095,-0.00095,1,0.4664,2,0,1,Kepler,,,,,,,,1.16,0.14,-0.14,5952.0,74.0,-74.0,13.492,12.412,12.110999999999999,0.761,,,0.6509999999999999,0.081,-0.081,0.132,,,,224.784608,0.000411,-0.000411,,,
219,Kepler-112,b,2014,296.981009,43.209751000000004,,2454967.0062,0.0006900000000000001,-0.0006900000000000001,1,0.1452,2,0,1,Kepler,,,,,,,,0.84,0.2,-0.2,5544.0,148.0,-148.0,13.770999999999999,12.583,12.225999999999999,0.076,,,0.21100000000000002,0.051,-0.051,0.0194,,,,8.408878,1e-05,-1e-05,,,
220,Kepler-112,c,2014,296.981009,43.209751000000004,,2454976.8308,0.00122,-0.00122,1,0.2068,2,0,1,Kepler,,,,,,,,0.84,0.2,-0.2,5544.0,148.0,-148.0,13.770999999999999,12.583,12.225999999999999,0.172,,,0.214,0.052000000000000005,-0.052000000000000005,0.02,,,,28.574263,6e-05,-6e-05,,,
221,Kepler-113,b,2014,287.997883,50.944332,,2454961.5463,,,1,,2,0,1,Kepler,,,,,0.75,0.06,-0.06,0.69,0.02,-0.02,4725.0,74.0,-74.0,13.460999999999999,11.886,11.36,,,,0.162,0.004,-0.004,0.037,0.013,-0.013,,4.754,,,,,
222,Kepler-113,c,2014,287.997883,50.944332,,2454972.71374,,,1,,2,0,1,Kepler,,,,,0.75,0.06,-0.06,0.69,0.02,-0.02,4725.0,74.0,-74.0,13.460999999999999,11.886,11.36,,,,0.19399999999999998,0.005,-0.005,0.02737,,,,8.92507,,,,,
223,Kepler-114,b,2014,294.121421,48.349525,,2454978.3632,0.0014,-0.0014,1,0.1015,3,0,1,Kepler,,,,,,,,0.67,0.04,-0.04,4605.0,100.0,-100.0,13.738,12.035,11.469000000000001,0.053,,,0.11199999999999999,0.012,-0.012,0.021,0.014,-0.011,588.0,5.188549,1.2e-05,-1.2e-05,,,
224,Kepler-114,c,2013,294.121421,48.349525,,,,,1,,3,0,1,Kepler,,,,,,,,0.67,0.04,-0.04,4605.0,100.0,-100.0,13.738,12.035,11.469000000000001,0.06482,0.00235,-0.00235,0.14300000000000002,0.016,-0.016,0.009,0.002,-0.002,508.0,8.041,,,,,
225,Kepler-114,d,2013,294.121421,48.349525,,,,,1,,3,0,1,Kepler,,,,,,,,0.67,0.04,-0.04,4605.0,100.0,-100.0,13.738,12.035,11.469000000000001,0.08358,0.00303,-0.00303,0.226,0.025,-0.025,0.012,0.005,-0.005,447.0,11.776,,,,,
227,Kepler-159,b,2014,297.07017,40.868784000000005,,2455011.44948,0.00119,-0.00119,1,0.1122,2,0,1,Kepler,,,,,,,,0.66,0.03,-0.03,4625.0,100.0,-100.0,14.902000000000001,13.104000000000001,12.53,0.082,,,0.212,0.016,-0.016,0.0197,,,448.0,10.139623,2.2e-05,-2.2e-05,,,
228,Kepler-159,c,2014,297.07017,40.868784000000005,,2455027.54523,0.00135,-0.00135,1,0.2147,2,0,1,Kepler,,,,,,,,0.66,0.03,-0.03,4625.0,100.0,-100.0,14.902000000000001,13.104000000000001,12.53,0.218,,,0.304,0.025,-0.025,0.0363,,,275.0,43.595792,0.000125,-0.000125,,,
229,Kepler-160,b,2014,287.773581,42.869285999999995,,2454967.0325700003,0.00245,-0.00245,1,0.1259,2,0,1,Kepler,,,,,,,,0.88,0.43,-0.43,5857.0,200.0,-200.0,14.619000000000002,13.46,13.100999999999999,0.05,,,0.13699999999999998,0.068,-0.068,0.0094,,,,4.309427,1.7e-05,-1.7e-05,,,
230,Kepler-160,c,2014,287.773581,42.869285999999995,,2455004.48747,0.0012699999999999999,-0.0012699999999999999,1,0.2003,2,0,1,Kepler,,,,,,,,0.88,0.43,-0.43,5857.0,200.0,-200.0,14.619000000000002,13.46,13.100999999999999,0.109,,,0.322,0.158,-0.158,0.0399,,,,13.699087,3.1e-05,-3.1e-05,,,
231,Kepler-161,b,2014,290.51649100000003,43.083824,,2455007.29899,0.0007,-0.0007,1,0.078,2,0,1,Kepler,,,,,,,,0.81,0.05,-0.05,5078.0,100.0,-100.0,14.196,12.767000000000001,12.329,0.054,,,0.18899999999999997,0.012,-0.012,0.038,0.023,-0.02,,4.921355,6e-06,-6e-06,,,
232,Kepler-161,c,2014,290.51649100000003,43.083824,,2454968.3791400003,0.0009199999999999999,-0.0009199999999999999,1,0.0563,2,0,1,Kepler,,,,,,,,0.81,0.05,-0.05,5078.0,100.0,-100.0,14.196,12.767000000000001,12.329,0.068,,,0.183,0.013000000000000001,-0.013000000000000001,0.037,0.033,-0.024,,7.06424,1.1e-05,-1.1e-05,,,
233,Kepler-162,b,2014,297.27891,43.724018,,2454967.11914,0.00403,-0.00403,1,0.1391,2,0,1,Kepler,,,,,,,,0.96,0.51,-0.51,5816.0,200.0,-200.0,14.248,13.040999999999999,12.708,0.069,,,0.11199999999999999,0.06,-0.06,0.006690000000000001,,,,6.919798,5.2e-05,-5.2e-05,,,
234,Kepler-162,c,2014,297.27891,43.724018,,2455003.10194,0.00131,-0.00131,1,0.147,2,0,1,Kepler,,,,,,,,0.96,0.51,-0.51,5816.0,200.0,-200.0,14.248,13.040999999999999,12.708,0.137,,,0.27,0.145,-0.145,0.0297,,,,19.446355,4.5e-05,-4.5e-05,,,
235,Kepler-163,b,2014,295.002819,46.987328000000005,,2454965.3043,0.00674,-0.00674,1,0.14,2,0,1,Kepler,,,,,,,,0.92,0.38,-0.38,5776.0,200.0,-200.0,14.415,13.194,12.85,0.078,,,0.094,0.039,-0.039,0.00364,,,,7.810937,0.000107,-0.000107,,,
