,0
1832,389046692
1833,38116202
1834,392457057
1835,435332419
1836,434237731
1837,240663583
1838,434131401
1839,81985995
1840,240716948
1841,146801027
1842,389082541
1843,396734394
1844,291067430
1845,366399673
1846,82055123
1847,173145976
1848,366355539
1849,443996198
1850,444009651
1851,350498104
1852,38143505
1853,38140908
1854,240812331
1855,366355552
1856,21273466
1857,69857733
1858,443996373
1859,12688740
1860,53210568
1861,81986202
1862,82052325
1863,240630048
1864,443966020
1865,173090072
1866,380166478
1867,366354730
1868,38086510
1869,443996532
1870,60284236
1871,12861157
1872,38138524
1873,415369778
1874,300967522
1875,38114135
1876,173145673
1877,443964724
1878,12787227
1879,6892624
1880,437030429
1881,38138579
1882,49427393
1883,240851571
1884,173096779
1885,243014927
1886,366485640
1887,49418692
1888,240663965
1889,68125605
1890,456888438
1891,59039748
1892,350448336
1893,243031477
1894,366410768
1895,145750648
1896,173097547
1897,348662456
1898,396733722
1899,443996525
1900,380166324
1901,240812257
1902,389082605
1903,6859765
1904,366355493
1905,240766768
1906,311128599
1907,366623225
1908,82052209
1909,445927681
1910,348721939
1911,366410388
1912,392036635
1913,456889680
1914,205096824
1915,366410426
1916,240851586
1917,38140919
1918,12773325
1919,366395558
1920,53207438
1921,173096840
1922,240764908
1923,337184337
1924,337185069
1925,434304308
1926,438045597
1927,385757828
1928,385751294
1929,385813116
1930,385905709
1931,438072229
1932,438106569
1933,438154210
1934,438167828
1935,438231261
1936,438227837
1937,438320644
1938,438321652
1939,438321917
1940,438400035
1941,59615471
1942,59614192
1943,307252131
1944,307585442
1945,308257379
1946,308485949
1947,438456513
1948,372654792
1949,445935723
1950,445955149
1951,173163000
1952,145750643
1953,366657416
1954,49453840
1955,291074977
1956,366527880
1957,240852096
1958,414312549
1959,240765001
1960,145964807
1961,38131674
1962,414251251
1963,188573229
1964,12787721
1965,82049609
1966,186812696
1967,435340378
1968,38143517
1969,38141900
1970,38132250
1971,240849875
1972,389082594
1973,205522594
1974,434128449
1975,205337031
1976,53210586
1977,173104465
1978,145963794
1979,38138481
1980,173097582
1981,53210539
1982,323182650
1983,458681667
1984,38088085
1985,386588930
1986,20537272
1987,414017840
1988,27682937
1989,396733588
1990,38143288
1991,188572065
1992,396733995
1993,173098890
1994,12822471
1995,240810387
1996,188580315
1997,38086634
1998,38140896
1999,20423480
2000,398331505
2001,38138561
2002,49419356
2003,439856727
2004,240627401
2005,366410722
2006,173103762
2007,6997221
2008,69839290
2009,437026552
2010,98680600
2011,173109340
2012,49427297
2013,205176344
2014,398428427
2015,20495141
2016,38144256
2017,380640657
2018,366354364
2019,240623312
2020,242985687
2021,38132281
2022,468984036
2023,60254725
2024,396733559
2025,38141724
2026,38132342
2027,188570396
2028,434131425
2029,389015750
2030,366444203
2031,173097335
2032,389081547
2033,38143595
2034,7020543
2035,69890005
2036,49419427
2037,240766723
2038,380166466
2039,38132224
2040,49416947
2041,146364223
2042,366410386
2043,396846760
2044,53207370
2045,188572005
2046,383062434
2047,443617586
2048,38141991
2049,12858558
2050,81985948
2051,434159675
2052,392103696
2053,414244768
2054,49427354
2055,38141726
2056,173109451
2057,49546753
2058,458678058
2059,439848853
2060,414312537
2061,20444497
2062,62903301
2063,146364187
2064,12787179
2065,173163522
2066,337078898
