EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
212874829,202.485489,-2.978836,11.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
212885936,205.260422,-2.36674,15.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,STAR,1,1,NA,NA,NA,NA,NA,NA
213196496,287.651093,-30.342129,12.007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STAR,1,1,NA,7516,4.03,0.058,2.08,1.79
213332010,287.674255,-29.813667,7.878,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STAR,1,1,NA,6291,4.17,-0.056,1.46,1.22
213461346,285.581848,-29.341921,8.541,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STAR,1,1,NA,6682,4.04,0.037,1.89,1.47
213554577,289.856537,-29.02103,8.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,STAR,1,1,NA,6366,4.29,-0.031,1.31,1.23
220142950,17.320541,-2.163657,14.977,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,6283,4.14,-1.125,1.27,0.84
220155299,17.555166,-1.700832,16.659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,4373,4.75,-0.479,0.48,0.54
220179214,18.577547,-0.820448,14.926,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,NA,NA,NA,NA,NA
220191991,16.501348,-0.309445,14.189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,6277,4.25,-0.971,1.15,0.84
220204626,17.849535,0.159765,17.197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,4104,4.83,-0.307,0.45,0.5
220220139,20.709562,0.712054,8.399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,STAR,1,1,NA,5387,3.83,-0.256,1.99,1.03
