EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7
201232451,171.34434,-3.474128,16.724,0,0,0,0,0,0,0
201161504,176.004131,-5.020911,16.724,0,0,0,0,0,0,0
201126643,176.264194,-5.870136,16.724,0,0,0,0,0,0,0
205961471,339.601891,-15.996412,16.724,0,1,0,0,0,0,0
211310427,130.412865,10.060615,16.724,0,0,0,0,0,0,1
201147066,176.012512,-5.365141,16.723,0,0,0,0,0,0,0
205933967,337.419723,-16.914236,16.723,0,1,0,0,0,0,0
211490351,123.727927,12.999863,16.723,0,0,0,0,0,0,1
201141655,176.013346,-5.498662,16.721,0,0,0,0,0,0,0
201166704,176.284613,-4.898672,16.72,0,0,0,0,0,0,0
211377156,127.755108,11.275333,16.72,0,0,0,0,0,0,1
201166222,173.174327,-4.910155,16.719,0,0,0,0,0,0,0
201225877,172.438294,-3.5721,16.718,0,0,0,0,0,0,0
201162045,175.007184,-5.008161,16.718,0,0,0,0,0,0,0
201189868,174.713878,-4.340486,16.717,0,0,0,0,0,0,0
201198340,173.927952,-4.141088,16.716,0,0,0,0,0,0,0
211371797,131.815028,11.187693,16.715,0,0,0,0,0,0,1
201197718,173.449675,-4.155874,16.714,0,0,0,0,0,0,0
211529891,123.984312,13.561165,16.714,0,0,0,0,0,0,1
201265634,169.372084,-2.970505,16.713,0,0,0,0,0,0,0
211381062,130.580613,11.339913,16.712,0,0,0,0,0,0,1
210386851,61.460072,13.15844,16.71,0,0,0,0,1,0,0
211414382,126.65846,11.857685,16.709,0,0,0,0,0,0,1
201146276,175.886736,-5.383825,16.708,0,0,0,0,0,0,0
211327447,126.053048,10.397854,16.708,0,0,0,0,0,0,1
201221597,173.174357,-3.636408,16.706,0,0,0,0,0,0,0
201161836,175.555727,-5.013017,16.705,0,0,0,0,0,0,0
201220889,171.271077,-3.648002,16.703,0,0,0,0,0,0,0
210322242,59.028497,11.411218,16.703,0,0,0,0,1,0,0
205960630,341.378366,-16.024088,16.7,0,1,0,0,0,0,0
206028722,343.487485,-13.99914,16.7,0,1,0,0,0,0,0
201206459,173.795767,-3.951557,16.699,0,0,0,0,0,0,0
201158268,176.216697,-5.098227,16.699,0,0,0,0,0,0,0
210353402,58.590465,12.316157,16.699,0,0,0,0,1,0,0
211356203,126.379121,10.925831,16.699,0,0,0,0,0,0,1
201198477,170.233439,-4.13812,16.698,0,0,0,0,0,0,0
201916191,177.206473,7.668,16.698,0,0,0,0,0,0,0
201908915,177.997884,7.511306,16.698,0,0,0,0,0,0,0
210390546,58.72203,13.244369,16.698,0,0,0,0,1,0,0
201235798,169.443971,-3.425178,16.696,0,0,0,0,0,0,0
201173627,172.648917,-4.729172,16.696,0,0,0,0,0,0,0
205959317,339.343644,-16.066193,16.696,0,1,0,0,0,0,0
210316598,58.163462,11.235903,16.696,0,0,0,0,1,0,0
201173412,173.41981,-4.734584,16.695,0,0,0,0,0,0,0
210388356,59.48295,13.193044,16.694,0,0,0,0,1,0,0
210347234,59.202326,12.144494,16.693,0,0,0,0,1,0,0
211336332,128.118356,10.565282,16.692,0,0,0,0,0,0,1
201156625,172.937675,-5.137517,16.691,0,0,0,0,0,0,0
210397285,59.733177,13.404365,16.691,0,0,0,0,1,0,0
201210358,169.198851,-3.859268,16.689,0,0,0,0,0,0,0
